date,location,meal,place,item,portion_size,nutrition_info
11/14/2024,The Atrium,Lunch,ENTREES,ICEBERG LETTUCE,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130084*4
11/14/2024,The Atrium,Lunch,ENTREES,MEDIUM KAISER ROLL,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=218025*1
11/14/2024,The Atrium,Lunch,ENTREES,RED ONION,2 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130154*2
11/14/2024,The Atrium,Lunch,ENTREES,SLICED PROVOLONE CHEESE,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150057*1
11/14/2024,The Atrium,Lunch,ENTREES,SLICED SWISS CHEESE,1 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150181*1
11/14/2024,The Atrium,Lunch,ENTREES,SLICED TOMATOES,2 SLICE,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=130204*2
11/14/2024,The Atrium,Lunch,ENTREES,TUNA SALAD,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=165046*4
11/14/2024,The Atrium,Lunch,ENTREES,TURKEY BREAST,3 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=800103*3
11/14/2024,The Atrium,Lunch,ENTREES,YELLOW AMERICAN CHEESE,2/3 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=150172*2%2f3
11/14/2024,The Atrium,Lunch,STARCH &  POTATOES,BAKED SALMON  W/ DILL SAUCE,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=170030*4
11/14/2024,The Atrium,Lunch,STARCH &  POTATOES,BBQ CHICKEN,10 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=111154*10
11/14/2024,The Atrium,Lunch,STARCH &  POTATOES,CORN DOGS,1 EACH,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=019826*1
11/14/2024,The Atrium,Lunch,STARCH &  POTATOES,ITALIAN MEATBALLS 1OZ,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=019836*4
11/14/2024,The Atrium,Lunch,VEGETABLES,BAKED BROWN RICE,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=163001*4
11/14/2024,The Atrium,Lunch,VEGETABLES,FETTUCINE PASTA,4 OZ,https://menuportal23.dining.rutgers.edu/foodpronet/label.aspx?locationNum=04&locationName=The+Atriuml&dtdate=11%2f14%2f2024&RecNumAndPort=140043*4
